CountryCode,CountryName,Region,FertilityRate.1960,LifeExp.1960,FertilityRate.2013,LifeExp.2013
ABW,Aruba,The Americas,4.82,65.56936585,1.669,75.32865854
AFG,Afghanistan,Asia,7.45,32.3285122,5.05,60.02826829
AGO,Angola,Africa,7.379,32.98482927,6.165,51.86617073
ALB,Albania,Europe,6.186,62.25436585,1.771,77.5372439
ARE,United Arab Emirates,Middle East,6.928,52.24321951,1.801,77.19563415
ARG,Argentina,The Americas,3.109,65.21553659,2.335,75.98609756
ARM,Armenia,Asia,4.55,65.86346341,1.553,74.56136585
ATG,Antigua and Barbuda,The Americas,4.425,61.78273171,2.088,75.77865854
AUS,Australia,Oceania,3.453,70.81707317,1.921,82.19756098
AUT,Austria,Europe,2.69,68.58560976,1.44,80.8902439
AZE,Azerbaijan,Asia,5.571,60.8362439,2,70.69314634
BDI,Burundi,Africa,6.953,41.23604878,6.035,56.25160976
BEL,Belgium,Europe,2.54,69.70195122,1.79,80.38536585
BEN,Benin,Africa,6.282,37.27826829,4.846,59.31202439
BFA,Burkina Faso,Africa,6.291,34.47790244,5.607,58.24063415
BGD,Bangladesh,Asia,6.725,45.82931707,2.209,71.2452439
BGR,Bulgaria,Europe,2.31,69.24756098,1.5,74.46585366
BHR,Bahrain,Middle East,7.09,52.08936585,2.075,76.54595122
BHS,"Bahamas, The",The Americas,4.495,62.72904878,1.883,75.07353659
BIH,Bosnia and Herzegovina,Europe,3.77,60.27621951,1.272,76.27692683
BLR,Belarus,Europe,2.67,67.70809756,1.62,72.47073171
BLZ,Belize,The Americas,6.5,59.96136585,2.611,69.98204878
BOL,Bolivia,The Americas,6.7,42.11831707,3.017,67.91343902
BRA,Brazil,The Americas,6.21,54.20546341,1.801,74.12243902
BRB,Barbados,The Americas,4.333,60.73804878,1.791,75.33395122
BRN,Brunei Darussalam,Asia,6.487,62.50036585,1.893,78.54665854
BTN,Bhutan,Asia,6.67,32.35936585,2.082,69.10292683
BWA,Botswana,Africa,6.615,50.54773171,2.864,64.36080488
CAF,Central African Republic,Africa,5.84,36.48263415,4.368,49.87987805
CAN,Canada,The Americas,3.811,71.13317073,1.61,81.40112195
CHE,Switzerland,Europe,2.44,71.31341463,1.52,82.74878049
CHL,Chile,The Americas,5.113,57.45829268,1.774,81.19792683
CHN,China,Asia,5.758,43.46580488,1.668,75.35302439
